,title,price,images,description,Công nghệ âm thanh,Bluetooth,Thương hiệu,Xuất xứ thương hiệu,Camera,Card đồ họa,Chip set,Kết nối,CPU,Kích thước,Loại/ Công nghệ màn hình,Dung lượng ổ cứng,Model,Loại ổ đĩa,Loại pin,Xuất xứ,Trọng lượng,RAM,Độ phân giải,Kích thước màn hình,Hệ điều hành,Wifi,SKU,Bộ nhớ đồ họa,Bus,Tốc độ CPU,Loại RAM,Thiết kế card,Cổng internet (LAN),Kết nối không dây khác,Nhà sản xuất,Ổ đĩa quang,Card Reader,Hiển thị màu sắc,Giao tiếp mạng,Thời gian pin
0,Apple Macbook Pro 2020 M1 - 13 Inchs (Apple M1/ 8GB/ 256GB) - Hàng Chính Hãng,30.899.000 ₫,https://salt.tikicdn.com/cache/w444/ts/product/90/c1/c8/5dd3cb13601f8a2d1ede1c6af5a18862.jpg,,"Stereo speakers with high dynamic range, Three microphones, 3.5 mm Headphone jack",Bluetooth 5.0 wireless technology,Apple,Mỹ,720p FaceTime HD camera,The 8-core GPU in M1 chip,Apple M1,"Two Thunderbolt 3 / USB 4 ports; Support for Charging, DisplayPort, ThunderBolt (up to 40Gbps), USB 3.1 Gen 2 (up to 10 Gbps)","Apple M1 chip with 8-core CPU, 8-core GPU, and 16-core Neural Engine",1.56 cm x 30.41 cm x 21.24 cm,"LED-backlit display with IPS technology; 2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors 500 nits brightness; Wide color gamut (P3), True Tone technology",256GB SSD,Pro 2020 M1,SSD,"58.2-watt-hour lithium-polymer, 61W USB-C Power Adapter",Trung Quốc,1.4 kg,8GB unified memory,WQXGA (2560 x 1600),13.3 inch,MacOS,802.11ax WI-FI 6 wireless networking; IEEE 802.11a/b/g/n/ac compatible; Bluetooth 5.0 wireless technology,5048489092616,,,,,,,,,,,,,
1,Laptop HP 15s-fq1107TU 193Q3PA (Core i3-1005G1/ 4GB DDR4 2666MHz/ 256GB SSD M.2 NVMe/ 15.6 SVA/ Win10) - Hàng Chính Hãng,10.159.000 ₫,https://salt.tikicdn.com/cache/w444/ts/product/ef/18/b8/de3e6dd258a9b8e31c48fb5c3552e210.jpg,"CPU: Intel Core i3-1005G1
Màn hình: 15.6"" SVA (1366 x 768)
RAM: 1 x 4GB DDR4 2666MHz
Đồ họa: Intel UHD Graphics
Lưu trữ: 256GB SSD M.2 NVMe /
Hệ điều hành: Windows 10 Home SL 64-bit
Pin: 3 cell 41 Wh Pin liền
Khối lượng: 1.7 kg
Thiết kế sang trọng
Laptop HP 15s-fq1107TU được thiết kế với kiểu dáng đẹp mắt, với tông màu bạc sang trọng, các góc cạnh của máy được bo tròn để dễ dàng cho vào balo.
Bộ vi xử lý mượt mà
Laptop HP 15s-fq1107TU được trang bị bộ vi xử lý Intel Core i3-1005G1 1.20 GHz, 4MB, RAM 4GB giúp xử lý các ứng dụng nhanh chóng, mượt mà, đồng thời máy cũng đáp ứng được nhu cầu giải trí của người dùng.
Bàn phím bố trí khoa học
Máy có bàn phím số để thuận tiện hơn cho người dùng khi phải thường xuyên thao tác với các con số. Bàn phím được bố trí khoa học giúp người dùng thao tác nhanh chóng, chính xác.
Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Tuy nhiên tuỳ vào từng loại sản phẩm hoặc phương thức, địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, ...",,Có,HP,Mỹ,,Intel UHD Graphics,,"1 x USB Type C , 2 x USB 3.1 , 1 x micro SD card slot","Intel Core i3-1005G1 (1.2 GHz - 3.4 GHz / 4MB / 2 nhân, 4 luồng)",,"15.6"" ( 1366 x 768 ) HD SVA không cảm ứng",256GB SSD M.2 NVMe /,,,"3 cell 41 Wh , Pin liền",Trung Quốc,,1 x 4GB DDR4 2666MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),HD (1366 x 768),15.6 inch,Windows 10 Home SL 64-bit,WiFi 802.11ac,1018692973686,,,,,,,,,,,,,
2,Laptop Asus ZenBook UX425EA-BM069T (Core i5-1135G7/ 8GB LPDDR4X 3200MHz (Onboard)/ 512GB SSD M.2 PCIE G3X2/ 14 FHD IPS/ Win10) - Hàng Chính Hãng,22.159.000 ₫,https://salt.tikicdn.com/cache/w444/ts/product/53/cb/0a/126ddb57b0ca3a0d803c0c7a30c311ad.jpg,"Gọn nhẹ và di chuyển dễ dàng
Laptop Asus ZenBook UX425EA-BM069T có thiết kế hoàn toàn bằng kim loại, siêu nhẹ, mỏng và gọn gang. Điều này khiến nó trở thành người bạn đồng hành lý tưởng trong những chuyến công tác. Đó cũng là chiếc laptop 14-inch mỏng nhất thế giới với đầy đủ các cổng kết nối — bao gồm HDMI và USB Type-A — để bạn có thể tận hưởng tính năng kết nối linh hoạt dù ở bất kỳ đâu.
Bản lề ErgoLift được chế tạo chính xác
ZenBook 14 có bản lề ErgoLift được chế tạo chính xác giúp tự động nâng phần sau của laptop một cách từ từ khi mở nắp máy, nghiêng bàn phím tới góc gõ tối ưu. Thao tác này cũng nâng khung máy cho chất lượng âm thanh nâng cao và khả năng làm mát tối ưu.
Màn hình NanoEdge 14 inch
ZenBook 14 có màn hình NanoEdge sáng và rõ nét với bốn viền màn hình mỏng cho tỷ lệ màn hình trên thân máy 90% giúp mang lại trải nghiệm xem chìm đắm hơn.
Hiệu năng tuyệt vời
Bộ vi xử lý Intel Core i5-1135G7 thế hệ mới nhất trên ZenBook 14 mang lại hiệu suất nâng cao khiến các tác vụ đa nhiệm, đòi hỏi hiệu suất và giải trí trở nên nhẹ nhàng. ZenBook 14 cũng được trang bị 512GB PCIe NVMe 3.0 x2 M.2 SSD và Intel WiFi 6 với Gig+ (802.11ax) cho hiệu suất toàn diện siêu việt.
Thời lượng pin lớn
Với thời lượng pin 22 giờ tuyệt vời của ZenBook 14, việc di chuyển mà không mang theo sạc không phải vấn đề gì nghiêm trọng. Khi bạn cần sạc pin, tính năng sạc nhanh có thể khôi phục mức pin tới 60% chỉ trong 49 phút, vì vậy bạn sẽ sẵn sàng lên đường trong chớp mắt.",Harman Kardon,V5.0,Asus,Đài Loan,3D IR HD camera with Windows Hello support,Intel Iris Xe Graphics,1135G7,"2x Thunderbolt 4 USB-C (up to 40Gbps), 1x USB 3.2 Gen 1 Type-A (up to 5Gbps), 1x Standard HDMI 2.0a",Intel Core i5,31.9 x 20.8 x 1.39 (cm),IPS LCD,512GB,,SSD,4 Cell 67WHr Lithium-Polymer,Trung Quốc,1.17kg,8GB,Full HD (1920 x 1080),14 inch,Windows 10 Home,Intel WiFi 6 with Gig+ performance (802.11ax),1764656931789,Share,3200MHz,2.4GHz up to 4.2GHz,LPDDR4X,Tích hợp,,,,,,,,
3,"Laptop MSI GF63 Thin 9SCSR-846VN (Core i7-9750H/ 8GB DDR4 2666MHz/ 512GB SSD M.2 PCIE/ GTX 1650Ti 4GB GDDR5 with Max-Q/ 15.6 FHD IPS, 144Hz/ Win10) - Hàng Chính Hãng",22.990.000 ₫,https://salt.tikicdn.com/cache/w444/ts/product/85/d3/32/46de2fb6dc496800f5ded7c0638ccd67.jpg,,,v5.0,MSI,Đài Loan,HD type (30fps@720p),NVIDIA GeForce GTX 1650Ti 4GB GDDR5 with Max-Q Design + Intel UHD Graphics 630,,"3x USB3.2 Gen1, 1x Type-C USB3.2 Gen1, HDMI, RJ-45",Intel Core i7-9750H 2.6GHz up to 4.5GHz 12MB,359 x 254 x 21.7 mm,"IPS, 144Hz, Thin Bezel, Anti-Glare","512GB SSD M.2 PCIE, x1 slot 2.5"" SATA3",9SCSR-846VN,,3 Cell 51WHr,Trung Quốc,1.86 kg,"8GB DDR4 2666MHz (2x SO-DIMM socket, up to 32GB SDRAM)",Full HD (1920 x 1080),15.6 inch,Windows 10 Home,802.11 ac,8937862471551,,,,,,Gb LAN,,,,,,,
4,Apple Macbook Air 2020 M1 - 13 Inchs (Apple M1/ 16GB/ 256GB) - Hàng Chính Hãng,30.950.000 ₫,https://salt.tikicdn.com/cache/w444/ts/product/dc/2a/f2/93e32642db37b0f015faafb05ed8923c.jpg,"Sang trọng, cơ động và đẳng cấp 
Được chế tác tinh xảo từ kim loại nguyên khối tái chế, Apple đem đến một phiên bản Apple Macbook Air 2020 M1 sang trọng, đẳng cấp nhưng vẫn giữ được độ mỏng nhẹ, đề cao tính di động, bắt kịp xu hướng hiện nay.
Chip bảo mật T2 mã hóa mọi thông tin trên máy đảm bảo thông tin cá nhân của bạn. Đăng nhập vào máy dễ dàng bằng bảo mật vân tay, hỗ trợ thanh toán online cực kì nhanh chóng và tiện lợi.
Vi xử lí M1 - bước tiến mới của MacBook Air
MacBook Air 2020 lần đầu giới thiệu con chip M1 mà Apple thiết kế đặc biệt dành cho MacBook có CPU 8 lõi cùng với Neural Engine 16 lõi đem đến tốc độ CPU nhanh hơn tới 3,5 lần. GPU 7 lõi tăng hiệu suất nhanh hơn tới 5 lần so với thế hệ trước. Các ứng dụng văn phòng, giải trí đến đồ họa, chỉnh sửa hình ảnh lẫn dựng vlog, edit video đều không thể làm khó chiếc MacBook thế hệ mới này. 
RAM 16 GB cho khả năng làm việc đa nhiệm mượt mà, không giật lag. Cùng với đó là ổ cứng SSD 256 GB xử lí nhanh chóng các tác vụ trên máy, khởi động Windows chỉ trong vài giây đồng thời cung cấp không gian số rộng lớn. 
Màn hình hiển thị sống động
Hình ảnh chi tiết và chân thật hơn bao giờ hết được thể hiện trên màn hình Retina 13,3 inch, độ phân giải (2560 x 1600). Mọi nội dung đều được tái hiện sắc nét và rõ ràng với gam màu rực rỡ.
Viền màn hình mỏng kết hợp với công nghệ IPS sẽ khiến cho mọi cái nhìn không còn giới hạn. Công nghệ True Tone giúp MacBook Air tự động điều chỉnh điểm trắng của màn hình theo nhiệt độ màu của môi trường để có trải nghiệm xem tự nhiên hơn.
Bộ xử lý tín hiệu hình ảnh trong chip M1 giúp bạn trông đẹp nhất cho mọi cuộc gọi FaceTime và hội nghị video. Laptop có đến 3 micrô tích hợp đảm bảo chất lượng đàm thoại tốt, ít tạp âm.
Những tiện ích dành riêng cho bạn
MacBook Air trang bị 2 cổng Thunderbolt 3 (USB-C) chuẩn kết nối hiện đại, truyền dữ liệu cực nhanh lên đến 40 Gb/s. 
Trải nghiệm soạn thảo tuyệt vời với bàn phím Magic. Với các phím tắt mới được lập trình giúp dễ dàng truy cập hơn. Các phím có đèn nền với cảm biến ánh sáng để bạn có thể sử dụng kể cả trong môi trường thiếu sáng.
Thời lượng pin lên đến 18 giờ - nhiều hơn 6 giờ so với các thế hệ MacBook trước đó. Thỏa sức sáng tạo không lo gián đoạn hoặc mang theo MacBook trong các chuyến đi.
Hệ điều hành macOS được nâng cấp kho ứng dụng lớn nhất từ trước đến nay, trợ giúp bạn trong tất cả các tác vụ học tập, làm việc đến giải trí, đáp ứng tất cả nhu cầu của bạn.
Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Tuy nhiên tuỳ vào từng loại sản phẩm hoặc phương thức, địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, ...",,v5.0,Apple,Mỹ,,7 nhân GPU,,2 x Thunderbolt 3 (USB-C),Apple M1,,"True Tone Technology, 400 nits, Công nghệ IPS, LED Backlit",256GB,,,PIN liền,Trung Quốc,,16GB,,13.3 inch,,Wi-Fi 6 AX201,7991896733276,,,,,,,,,,,,,
5,Laptop Acer Swift 3 SF314-59-5178 (NX.A0RSV.001) (i5-1135G7/8GB RAM/512GB SSD/14.0 inch FHD IPS/Win10/Hồng) - Hàng Chính Hãng,17.990.000 ₫,https://salt.tikicdn.com/cache/w444/ts/product/db/c5/b9/084eb17bdb22da84236bdb4ab9d26b64.png,"Laptop Acer Swift 3 SF314-59-5178 (NX.A0RSV.001) (i5-1135G7/8GB RAM/512GB SSD/14.0 inch FHD IPS/Win10/Hồng)
THIẾT KẾ NGUYÊN KHỐI BỀN BỈ VÀ GỌN NHẸ
Swift 3, chiếc laptop văn phòng mỏng nhẹ, sở hữu vỏ máy làm từ hợp kim Nhôm - Magie bền bỉ hơn 4 lần và nhẹ hơn 35% so với hợp kim nhôm thông thường, trọng lượng máy chỉ 1.19kg, mỏng 15.95mm.
LỰA CHỌN ĐA DẠNG VỚI PHIÊN BẢN CPU INTEL GEN 11TH HOẶC AMD
Swift 3 tích hợp những CPU mới nhất, đi đầu về mặt công nghệ, có 2 lựa chọn là Intel Core Processors hoặc AMD Ryzen Mobile 4000 Series Processors giúp xử lý mượt mà các tác vụ văn phòng và giải trí. Thiết kế CPU được tối ưu hóa trong thiết kế, hứa hẹn cung cấp mức hiệu năng chưa từng có, cải tiến đáng kể và hiệu quả năng lượng đáng kinh ngạc.

KHẢ NĂNG HIỂN THỊ ĐỘC ĐÁO VÀ CHUẨN XÁC
Màn hình tràn viền theo xu hướng, cạnh mỏng chỉ 6.3mm. Tích hợp tấm nền 13.5” Ultra HD IPS (2K resolution) hiện thị siêu sắc nét, màu sắc chân thật, sống động trong các môi trường ánh sáng khác nhau. Tỉ lệ màn hình 3:2 mở rộng khung hình thêm 18% theo chiều dọc, phù hợp với đối tượng văn phòng và doanh nhân, giúp tập trung cao hơn trong công việc.

Màn hình tràn viền theo xu hướng, cạnh mỏng chỉ 5.5mm. Tích hợp tấm nền 14,6” FHD IPS hiện thị siêu sắc nét, màu sắc chân thật, sống động trong các môi trường ánh sáng khác nhau. Tỉ lệ màn hình so với thân máy đạt 82.73% cho phép nhìn góc rộng với nội dung nhiều hơn.

CÔNG CỤ THÔNG MINH, BẢN LỀ TIỆN DỤNG
Công nghệ Wake on Voice (WoV) cho phép kích hoạt và đặt lệnh Window 10 bằng giọng nói khi màn hình tắt.

KẾT NỐI HIỆN ĐẠI VỚI NHIỀU THIẾT BỊ NGOẠI VI
Tích hợp Wifi 6 cho tốc độ kết nối nhanh hơn 4 lần so với thế hệ trước, loại bỏ độ trễ giúp đường truyền internet đáng tin cậy.
USB Type-C Thunderbolt 4 mới nhất với khả năng đọc ghi lên đến 40GBps, hổ trợ sạc hai chiều và truy xuất lên đến 2 màn hình 4K.
Thời lượng PIN khủng lên đến 16 tiếng (56Whr) hỗ trợ công nghệ FastCharge cho phép sử dụng liên tục 4 tiếng đồng hồ chỉ với 30 phút sạc.
Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Tuy nhiên tuỳ vào từng loại sản phẩm hoặc phương thức, địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, ...",,Bluetooth 5.0,Acer,Trung Quốc,HD webcam with: • 1280 x 720 resolution • 720p HD audio/video recording • Super high dynamic range imaging (SHDR),Intel Iris Xe Graphics,Intel,1 x USB Type-C 1 x USB 3.2 Gen 1 port featuring power-off USB charging 1 x USB 2.0 port,Intel Core i5-1135G7,,,512GB,NX.A0RSV.001,,48Wh,Trung Quốc,,8GB,,,,Intel Wireless Wi-Fi 6 AX201,6848046020366,,,"tối đa 4.20GHz, 4 cores 8 threads",8GB (LPDDR4X_8GB) 2666MHz,,,Bluetooth 5.0,Acer,No,,,,
6,Laptop HP Envy 13-ba1027TU 2K0B1PA (Core i5-1135G7/ 8GB DDR4 3200MHz (Onboard)/ 256GB PCIe NVMe M.2/ 13.3 FHD IPS/ Win10) - Hàng Chính Hãng,21.379.000 ₫,https://salt.tikicdn.com/cache/w444/ts/product/58/c8/ba/1d0bde7776e2d0e90ab4972f58a997e3.jpg,"CPU: Intel Core i5-1135G7 2.4GHz up to 4.2GHz 8MB
Màn hình: 13.3"" FHD (1920 x 1080) IPS with 72% NTSC, BrightView Micro-Edge, 300 nits
RAM: 8GB DDR4 3200MHz (Onboard)
Đồ họa: Intel Iris Xe Graphics
Lưu trữ: 256GB PCIe NVMe M.2 SSD
Hệ điều hành: Windows 10 Home + Office Home & Student
Pin: 3 Cell 51WHr
Thiết kế nhỏ gọn tiện lợi
Laptop HP Envy 13-ba1027TU 2K0B1PA có kích thước nhỏ gọn siêu di động nhờ thiết kế viền mỏng và chế tác bằng chất liệu kim loại nguyên khối màu bạc đẹp mắt. Đây dường như là ưu điểm được nhiều người lựa chọn với khả năng di chuyển tiện lợi, dễ dàng tìm thấy các sản phẩm túi chống sốc phù hợp kích thước cũng như các loại ba lô hay túi xách.
Màn hình độ phân giải FHD
Laptop HP Envy 13-ba1027TU 2K0B1PA được trang bị màn hình sắc nét với kích thước nhỏ gọn 13 inch độ phân giải Full HD được hỗ trợ bởi chip màn hình Intel tích hợp cho chế độ xem phong phú. Thưởng thức hình ảnh rõ nét từ mọi góc độ với góc nhìn rộng 178° và độ phân giải cao sống động, bạn sẽ luôn có một cái nhìn tuyệt vời về nội dung yêu thích của bạn.
Sức mạnh từ bộ vi xử lý Intel Core i5
HP Envy 13-ba1027TU 2K0B1PA sở hữu cấu hình cực tốt khi trang bị bộ vi xử lý Intel Core i5-1135G7, xung nhịp 2.4GHz up to 4.2GHz 8MB cho bạn xử lí các tác vụ mượt mà. Máy có sẵn 8GB RAM DDR4, cho phép mở nhiều ứng dụng, duyệt web nhiều tab cùng lúc.
Khả năng kết nối đa dạng
Máy tính kết nối với các chuẩn hiện nay như: cổng USB Type A, cổng USB Type C, khe cắm thẻ nhớ SD, cổng HDMI và cổng hỗ trợ Audio Jack. Ngoài kết nối bằng cổng, chiếc laptop còn hỗ trợ Bluetooth chuẩn 5.0 và chuẩn Wifi 802.11 b/g/n.
Hệ điều hành Windows 10 bản quyền
Phần mềm ổn định là điều rất quan trọng trong việc sử dụng máy tính. Với hệ điều hành Windows 10 bản quyền được cài sẵn, HP Envy 13-ba1027TU 2K0B1PA luôn được cập nhật những tính năng mới và các bản vá lỗi thường xuyên để bạn luôn sử dụng ổn định.
Khởi động và làm việc nhanh hơn bằng ổ cứng SSD
Chiếc lap top HP Envy 13-ba1027TU 2K0B1PA được trang bị ổ cứng SSD 256GB. Với ổ cứng thể rắn SSD cung cấp cho chiếc laptop tốc độ khởi động máy, mở ứng dụng và truyền dữ liệu nhanh vượt trội so với ổ cứng HDD truyền thống. Đồng thời, độ bền của ổ SSD cũng được đánh giá cao hơn hẳn. Nhờ vậy, bạn sẽ có những trải nghiệm mượt mà trên laptop HP Envy 13.
 Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Tuy nhiên tuỳ vào từng loại sản phẩm hoặc phương thức, địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, ...","Bang & Olufsen, Dual speakers, HP Audio Boost",V5.0,HP,Mỹ,HP Wide Vision HD Camera,Intel Iris Xe Graphics,1135G7,"1x Thunderbolt 3 (40Gbps signaling rate) with SuperSpeed USB Type-C 10Gbps signaling rate (USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge), 1x SuperSpeed USB Type-A 5Gbps signaling rate (HP Sleep and Charge), 1x SuperSpeed USB Type-A 5Gbps signaling rate",Intel Core i5,30.65 x 19.46 x 1.69 cm,IPS LCD,256GB,,SSD,3 Cell 51WHr,Trung Quốc,1.3 kg,8GB,Full HD (1920 x 1080),13.3 inch,Windows 10 Home + Office Home & Student,Intel Wi-Fi 6 AX 201 (2x2),2280571527450,Share,3200MHz,2.4GHz up to 4.2GHz 8MB,DDR4,Tích hợp,,,,,MicroSD Media Card Reader,,,
7,Laptop Acer Aspire 5 A515-55G-5633 NX.HZFSV.002 (Core i5-1035G1/ 8GB (4GB + 4GB Onboard) DDR4 2400MHz/ 512GB SSD M.2 NVMe/ MX350 2GB/ 15.6 FHD IPS/ Win10) - Hàng Chính Hãng,17.790.000 ₫,https://salt.tikicdn.com/cache/w444/ts/product/1f/76/ef/dfe757de132858008b9d8235b6d19ca7.jpg,"CPU: Intel Core i5-1035G1
Màn hình: 15.6"" IPS (1920 x 1080)
RAM: 8GB (4GB + 4GB Onboard) DDR4 2400MHz
Đồ họa: NVIDIA GeForce MX350 2GB GDDR5 / Intel UHD Graphics
Lưu trữ: 512GB SSD M.2 NVMe /
Hệ điều hành: Windows 10 Home 64-bit
48 Wh Pin liền
Khối lượng: 1.7kg
Thiết kế cao cấp cùng gọn nhẹ cùng màn hình 15.6 inches rộng rãi
Mang trong mình một thiết kế gọn nhẹ và ngoại hình được tinh chỉnh với độ dày chỉ ở mức 17.95 mm. Điều này giúp cho tổng thể chiếc máy trở nên liền mạch và sang trọng hơn các loại máy khác trên thị trường. Tổng trọng lượng của chiếc máy cũng chỉ ở 1.7kg, có thể nói ở tầm trọng lượng như vầy mọi thao tác mang vác chiếc máy theo đều khá ổn.
Một màn hình 15.6 inches trên chiếc laptop Acer Aspire 5 A515 có thể nói là quá đủ cho cả việc giải trí và làm việc trên chiếc laptop này. Đây là loại màn hình IPS LCD chống chói, giúp bạn làm việc dưới môi trường có độ sáng cao thì không phải ngại việc màn hình bị chói và khó làm việc.
Bàn phím full-size đa dụng cùng khả năng nhanh nhanh nhạy trong thao tác Trackpad
Bàn phím của chiếc laptop Acer Aspire 5 A515 là loại bàn phím full-size với một dãy phím số bên tay phải giúp bạn thuận tiện hơn trong công việc. Cùng với đó, bàn phím này còn có một độ nhạy và độ chính xác nhất có thể trong việc sử dụng cũng như giải trí hay các thao tác văn phòng của bạn cũng được chính xác.
Trackpad của chiếc laptop Acer Aspire 5 A515 được phủ một lớp giúp cho chúng có thể mượt mà và thao tác chuẩn chỉnh nhất có thể. Cùng với đó chúng còn có thể giúp cho bạn sử dụng thay thế hẳn cho một con chuột và làm việc một cách hiệu quả hơn.
Con chip Intel i5-1035G1 đời mới nhất cùng với card đồ hoạ kép linh hoạt
Con chip Intel i5-1035G1 là một trong những con chip đời mới nhất của Intel và chúng có khả năng đảm bảo cho mọi tác vụ trên chiếc laptop Acer Aspire 5 A515 được ổn định và mượt mà nhất có thể. Với 4 nhân 8 luồng hoạt động của con chip, các hoạt động giải trí và làm việc trên chiếc máy luôn được đảm bảo.
Card đồ hoạ kép ngày nay luôn là một xu hướng trên các dòng laptop, chiếc laptop Acer Aspire 5 A515 cũng vậy chúng được trang bị hai card màn hình riêng biệt với card Nvidia MX350 2GB phục vụ cho việc xử lý các hình ảnh đồ hoạ nặng. Cùng với Intel UHD Graphics sẽ đảm nhận vai trò trong việc xử lý tác vụ văn phòng.
RAM 8GB đa nhiệm tối ưu cùng khả năng lưu trữ nhanh chóng 512GB SSD
Một mức ram lớn lên đến 8GB là một trong những lý do mà bạn nên mua chiếc máy laptop Acer Aspire 5 A515 này.Cùng với đó, việc sử dụng chiếc laptop này còn giúp cho bạn có thể đa tác vụ cùng một lúc nhiều trang cũng như bạn có thể vừa chơi game, vừa nghe nhạc hay thậm chí là việc xem trang web.
Một điểm mạnh của chiếc laptop Acer Aspire 5 A515 là việc chúng được trang bị một ổ cứng 512GB SSD. Với một tốc độ vượt trội của bộ nhớ SSD bạn có thể ghi và lấy dữ liệu một cách nhanh chóng. Thêm nữa, điểm đặc biệt là bạn có thể khởi động được windows một cách chuẩn chỉnh và nhanh nhất có thể.
Cổng kết nối đa dạng cùng khả năng sử dụng pin lâu dài với dung lượng pin 48 Whr
Khi cổng kết nối của các máy tính Ultrabook hiện nay dường như bị bỏ bớt hết để có thể đảm bảo được tính mỏng nhẹ. Tuy nhiên với laptop Acer Aspire 5 A515 bạn không cần phải quá lo lắng vì chúng có đầy đủ hết tất cả các cổng kết nối mà một người dùng cơ bản cần dùng, đảm bảo một độ đa dụng và tiện lợi.
Dung lượng pin của chiếc laptop Acer Aspire 5 A515 cũng có thể nói là điểm mạnh tiếp theo khi chúng có thể sử dụng trong điều kiện lâu dài. Tất cả là nhờ vào một viên pin lên đến 3 cell 48Whr. Bạn có thể tận dụng mọi thời gian bạn sử dụng chúng cho việc chơi game, giải trí cũng như là hoàn thành các công việc.
Kết nối Bluetooth 5.0 mới nhất cùng khả năng videocall chất lượng HD ổn định
Có thể nói rằng kết nối là một điều không thể thiếu để thông tin có thể lại gần nhau hơn và điều này là khác dễ dàng đối với chiếc laptop Acer Aspire 5 A515. Điều này là nhờ vào trang bị Bluetooth 5.0 mới nhất trên mẫu laptop này.
Bên cạnh các tính năng đỉnh cao trên thì với một camera chất lượng HD trên laptop Acer Aspire 5 A515 là một điều không thể thiếu để bạn có thể làm việc. Điều này giúp bạn có thể có được những cuộc gọi tốt nhất có thể.
Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Tuy nhiên tuỳ vào từng loại sản phẩm hoặc phương thức, địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, ...",,Bluetooth 5.0,Acer,Đài Loan,,NVIDIA GeForce MX350 2GB GDDR5 / Intel UHD Graphics,,"1 x USB Type C , 2 x USB 3.1 , 1 x USB 2.0 , LAN 1 Gb/s","Intel Core i5-1035G1 ( 1.0 GHz - 3.6 GHz / 6MB / 4 nhân, 8 luồng )",,Full HD IPS không cảm ứng,512GB SSD M.2 NVMe,,,"48 Wh , Pin liền",Trung Quốc,,8GB (4GB + 4GB Onboard) DDR4 2400MHz ( 1 Khe cắm / Hỗ trợ tối đa 16GB ),Full HD (1920 x 1080),15.6 inch,Windows 10 Home 64-bit,WiFi 802.11ax (Wifi 6),3330528218913,,,,,,,,,,,,,
